Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB KAMPAR,-0.66,0.32,-0.23,-0.06,1.28,0.18,-,-,-,-,-,-,-
KOTA PEKANBARU,-0.35,0.24,-0.19,0.31,0.56,0.49,-,-,-,-,-,-,-
KOTA DUMAI,-0.42,0.5,-0.28,0.15,0.54,0.48,-,-,-,-,-,-,-
KAB KERINCI,-1.31,1.07,1.28,-0.19,0.25,0.72,-,-,-,-,-,-,-
BUNGO,-0.17,0.93,0.22,0.52,0.53,0.04,-,-,-,-,-,-,-
KOTA JAMBI,-0.25,0.38,-0.22,0.37,0.94,0.51,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,0.08,0.6,0.36,-0.06,0.47,0.47,-,-,-,-,-,-,-
KAB MUARA ENIM,0.06,0.64,0.24,-0.18,0.77,0.49,-,-,-,-,-,-,-
KOTA PALEMBANG,0.05,0.58,0.28,-0.04,0.61,0.3,-,-,-,-,-,-,-
KOTA LUBUKLINGGAU,0.03,0.41,0.27,0.15,0.83,0.43,-,-,-,-,-,-,-
KAB MUKO MUKO,-0.87,0.85,0.81,-0.07,0.83,0.39,-,-,-,-,-,-,-
KOTA BENGKULU,-0.72,0.6,0.1,0.48,0.87,0.38,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,-0.4,0.15,0.04,0.75,0.59,0.9,-,-,-,-,-,-,-
KAB MESUJI,-0.51,0.33,0.8,0.77,0.59,0.72,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.18,0.44,0.2,0.47,0.93,0.38,-,-,-,-,-,-,-
KOTA METRO,-0.34,0.48,0.17,0.17,1.13,0.29,-,-,-,-,-,-,-
TANJUNG PANDAN,0.81,-1.56,0.18,0.78,0.36,0.54,-,-,-,-,-,-,-
KAB BANGKA BARAT,0.36,-0.77,0.92,0.42,-0.62,0.4,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,0.03,-0.01,0.31,0.36,0.17,0.2,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.11,-0.44,0.21,0.23,0.33,0.3,-,-,-,-,-,-,-
KAB KARIMUN,-0.67,0.01,0.56,-0.25,0.63,0.05,-,-,-,-,-,-,-
KOTA BATAM,-0.04,0.4,0.11,0.51,0.33,0.68,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,-0.06,0.99,-0.37,0.38,0.59,0.49,-,-,-,-,-,-,-
DKI JAKARTA,-0.23,0.63,0.51,0.21,0.12,0.41,-,-,-,-,-,-,-
KAB BANDUNG,-0.15,0.96,0.59,-0.03,0.14,0.25,-,-,-,-,-,-,-
KAB MAJALENGKA,-0.11,0.85,0.62,-0.08,0.21,0.3,-,-,-,-,-,-,-
KAB SUBANG,-0.21,0.88,0.67,-0.28,0.22,0.22,-,-,-,-,-,-,-
KOTA BOGOR,-0.21,0.91,0.52,-0.06,0.24,0.27,-,-,-,-,-,-,-
KOTA SUKABUMI,-0.03,0.75,0.46,0.04,0.14,0.18,-,-,-,-,-,-,-
KOTA BANDUNG,-0.09,0.65,0.43,-0.02,0.3,0.32,-,-,-,-,-,-,-
KOTA CIREBON,-0.44,0.8,0.68,-0.06,0.39,0.1,-,-,-,-,-,-,-
KOTA BEKASI,0.07,0.83,0.39,-0.12,0.28,0.25,-,-,-,-,-,-,-
KOTA DEPOK,-0.16,0.65,0.63,-0.01,0.3,0.42,-,-,-,-,-,-,-
KOTA TASIKMALAYA,-0.05,0.97,0.44,-0.18,0.04,0.03,-,-,-,-,-,-,-
CILACAP,-0.42,0.8,0.7,-0.21,0.31,0.1,-,-,-,-,-,-,-
PURWOKERTO,-0.36,0.78,0.68,-0.07,0.28,0.12,-,-,-,-,-,-,-
KAB WONOSOBO,-0.51,0.76,0.92,-0.23,0.12,0.31,-,-,-,-,-,-,-
KAB WONOGIRI,-0.52,0.79,0.87,-0.25,0.3,0.44,-,-,-,-,-,-,-
KAB REMBANG,-0.29,0.83,0.53,-0.07,0.24,0.4,-,-,-,-,-,-,-
KUDUS,-0.26,0.74,0.47,0.02,0.31,0.29,-,-,-,-,-,-,-
KOTA SURAKARTA,-0.38,0.9,0.48,-0.1,0.31,0.32,-,-,-,-,-,-,-
KOTA SEMARANG,-0.25,0.67,0.37,0.17,0.16,0.42,-,-,-,-,-,-,-
KOTA TEGAL,-0.24,0.86,0.54,-0.09,0.14,0.26,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,-0.17,0.66,0.55,0.17,0.12,0.28,-,-,-,-,-,-,-
KOTA YOGYAKARTA,-0.14,0.72,0.33,-0.01,0.2,0.46,-,-,-,-,-,-,-
KAB TULUNGAGUNG,-0.18,1.03,0.47,-0.18,0.19,0.04,-,-,-,-,-,-,-
JEMBER,-0.29,1.14,0.65,-0.44,0.19,0.11,-,-,-,-,-,-,-
BANYUWANGI,-0.21,0.94,0.37,-0.28,0.18,0.14,-,-,-,-,-,-,-
KAB BOJONEGORO,-0.33,0.91,0.65,-0.35,0.29,0.21,-,-,-,-,-,-,-
KAB GRESIK,-0.45,0.76,0.98,-0.4,0.17,0.19,-,-,-,-,-,-,-
SUMENEP,0.34,1.08,0.89,-0.4,0.16,0.01,-,-,-,-,-,-,-
KOTA KEDIRI,-0.37,0.87,0.41,-0.12,0.35,0.12,-,-,-,-,-,-,-
KOTA MALANG,-0.1,0.74,0.34,0.05,0.18,0.43,-,-,-,-,-,-,-
KOTA PROBOLINGGO,-0.03,1.12,0.69,-0.65,0.03,0.18,-,-,-,-,-,-,-
KOTA MADIUN,-0.23,0.74,0.49,-0.02,0.35,0.37,-,-,-,-,-,-,-
KOTA SURABAYA,-0.16,0.99,0.13,0.37,0.37,0.46,-,-,-,-,-,-,-
KAB PANDEGLANG,-0.5,1.64,1.05,-0.13,-0.16,0.43,-,-,-,-,-,-,-
KAB LEBAK,-0.34,1.52,0.62,-0.35,0.19,-0.03,-,-,-,-,-,-,-
KOTA TANGERANG,-0.38,0.64,0.36,-0.11,-0.15,0.57,-,-,-,-,-,-,-
KOTA CILEGON,-0.12,0.85,0.24,0.31,0.21,0.17,-,-,-,-,-,-,-
KOTA SERANG,-0.16,0.73,0.31,0.1,0.51,0.45,-,-,-,-,-,-,-
KAB TABANAN,-0.21,0.48,0.63,-0.17,0.54,0.92,-,-,-,-,-,-,-
KAB BADUNG,-0.78,1.04,0.5,-0.17,0.25,0.69,-,-,-,-,-,-,-
SINGARAJA,-0.44,0.77,0.9,-0.08,0.37,0.46,-,-,-,-,-,-,-
KOTA DENPASAR,-0.13,0.57,0.42,0.19,0.5,0.75,-,-,-,-,-,-,-
KAB SUMBAWA,0.8,0.67,0.91,-0.52,-0.21,0.41,-,-,-,-,-,-,-
KOTA MATARAM,-0.21,0.96,0.85,0.11,-0.08,0.35,-,-,-,-,-,-,-
KOTA BIMA,0.61,0.91,0.29,0.28,0.26,0.36,-,-,-,-,-,-,-
WAINGAPU,1.45,0.69,0.04,0.52,-0.24,0.81,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,1.4,0.03,0.38,0.97,-1.06,0.88,-,-,-,-,-,-,-
MAUMERE,1.69,0.16,0.02,0.3,-0.14,1.13,-,-,-,-,-,-,-
KAB NGADA,0.68,0.04,0.28,1.15,-0.01,0.23,-,-,-,-,-,-,-
KOTA KUPANG,0.14,0.71,0.23,0.09,0.02,0.6,-,-,-,-,-,-,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,0.61,0.45,0.21,0.72,0.28,0.15,-,-,-,-,-,-,-
SINTANG,0.55,0.56,0.2,0.25,0.36,0.36,-,-,-,-,-,-,-
KAB KAYONG UTARA,0.18,0.36,0.37,0.43,0.24,0.2,-,-,-,-,-,-,-
KOTA PONTIANAK,0.07,0.57,0.17,0.59,0.43,0.37,-,-,-,-,-,-,-
KOTA SINGKAWANG,0.11,0.53,0.55,0.42,-0.13,0.46,-,-,-,-,-,-,-
SAMPIT,0.41,0.61,0.43,0.44,0.42,0.28,-,-,-,-,-,-,-
KAB KAPUAS,0.47,0.67,0.89,0.41,-0.32,0.33,-,-,-,-,-,-,-
KAB SUKAMARA,0.03,0.76,0.09,0.44,0.63,0.13,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.36,0.17,0.44,0.4,0.7,0.16,-,-,-,-,-,-,-
KAB TANAH LAUT,-0.03,1.09,1.15,-0.09,0.21,0.48,-,-,-,-,-,-,-
KOTABARU,0.36,0.6,0.3,0.31,0.49,0.31,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,0.48,0.82,0.38,0.38,-0.17,0.03,-,-,-,-,-,-,-
TANJUNG,0.81,1.34,0.45,-0.11,-0.41,0.43,-,-,-,-,-,-,-
KOTA BANJARMASIN,0.13,0.76,0.35,-0.14,0.31,0.59,-,-,-,-,-,-,-
KAB BERAU,-0.32,0.15,0.76,0.5,0.16,0.27,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,0.05,0.89,1.09,0.33,-0.06,0.39,-,-,-,-,-,-,-
KOTA BALIKPAPAN,-0.11,0.75,0.51,-0.05,0.27,0.86,-,-,-,-,-,-,-
KOTA SAMARINDA,0.26,0.56,0.86,0.11,0.11,0.72,-,-,-,-,-,-,-
TANJUNG SELOR,-0.43,0.56,0.41,0.23,0.39,0.67,-,-,-,-,-,-,-
KAB NUNUKAN,0.81,0.24,0.53,0.04,-0.03,0.37,-,-,-,-,-,-,-
KOTA TARAKAN,-0.15,0.58,0.63,-0.06,0.41,0.45,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,0.37,1.5,0.41,1.4,-1.39,2.84,-,-,-,-,-,-,-
KAB MINAHASA UTARA,0.94,1.45,-0.35,0.94,-0.51,2.83,-,-,-,-,-,-,-
KOTA MANADO,0.79,0.75,0.32,0.89,-0.47,1.72,-,-,-,-,-,-,-
KOTA KOTAMOBAGU,-0.12,1.13,0.72,0.67,-0.34,2.14,-,-,-,-,-,-,-
LUWUK,0.07,0.92,0.37,0.63,0.79,1.16,-,-,-,-,-,-,-
KAB MOROWALI,-0.13,0.57,0.62,0.87,0.12,1.04,-,-,-,-,-,-,-
KAB TOLI TOLI,-0.85,1.59,0.3,0.48,0.63,2.26,-,-,-,-,-,-,-
KOTA PALU,0.24,0.66,0.33,0.38,0.11,0.79,-,-,-,-,-,-,-
BULUKUMBA,0.29,0.63,0.35,0.36,0.02,0.2,-,-,-,-,-,-,-
WATAMPONE,0.91,0.48,0.8,0.38,-0.02,0.18,-,-,-,-,-,-,-
KAB WAJO,0.34,1.08,0.93,-0.52,0.54,0.32,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,1.39,0.96,0.36,0.05,-0.17,0.16,-,-,-,-,-,-,-
KAB LUWU TIMUR,0.34,0.63,1.07,-0.08,0.31,0.82,-,-,-,-,-,-,-
KOTA MAKASSAR,0.37,1.23,0.57,-0.07,0.06,0.38,-,-,-,-,-,-,-
KOTA PARE-PARE,0.47,0.65,0.49,-0.08,0.32,0.03,-,-,-,-,-,-,-
KOTA PALOPO,0.37,0.49,0.2,0.47,-0.05,0.45,-,-,-,-,-,-,-
KAB KONAWE,-0.06,0.28,1.14,0.46,0.9,1,-,-,-,-,-,-,-
KAB KOLAKA,1.82,1.05,0.78,-0.18,0.59,0.51,-,-,-,-,-,-,-
KOTA KENDARI,0.44,0.38,0.33,0.69,0.98,1.5,-,-,-,-,-,-,-
KOTA BAU-BAU,0.9,1.44,-0.75,0.96,1.13,2.13,-,-,-,-,-,-,-
KAB GORONTALO,0.68,0.91,0.17,1.02,-1.19,2.57,-,-,-,-,-,-,-
KOTA GORONTALO,-0.19,0.73,0.35,0.4,-0.68,1.54,-,-,-,-,-,-,-
KAB MAJENE,0.15,0.43,0.5,0.41,0.46,0.36,-,-,-,-,-,-,-
MAMUJU,1.58,0.07,-0.54,-0.02,-0.42,0.65,-,-,-,-,-,-,-
KAB MALUKU TENGAH,1.44,1.21,-1.4,-1.96,1.34,1.82,-,-,-,-,-,-,-
KOTA AMBON,0.15,0.3,-0.43,0.92,0.73,1.28,-,-,-,-,-,-,-
KOTA TUAL,2.35,-0.72,0.37,0.64,0.46,1.51,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,0.27,0.52,0.75,0.24,0.66,0.96,-,-,-,-,-,-,-
KOTA TERNATE,1.74,0.9,-0.82,0.94,-0.08,2.77,-,-,-,-,-,-,-
MANOKWARI,0.02,-0.65,0.05,2,0.56,1.59,-,-,-,-,-,-,-
KAB SORONG,-0.12,0.05,0.38,0.03,0.49,0.92,-,-,-,-,-,-,-
KAB SORONG SELATAN,0.2,-0.11,0.2,0.26,0.13,0.86,-,-,-,-,-,-,-
KOTA SORONG,0.29,-0.81,1.35,0.9,-0.18,2.06,-,-,-,-,-,-,-
KOTA JAYAPURA,-0.36,0.06,0.7,0.98,-0.68,1,-,-,-,-,-,-,-
MERAUKE,1.06,0.59,0.35,0.94,-0.5,0.43,-,-,-,-,-,-,-
TIMIKA,0.28,0.32,0.26,0.28,0.69,1.04,-,-,-,-,-,-,-
KAB NABIRE,-1.4,-0.71,0.27,0.05,0.21,2.28,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-0.05,0.49,2.57,0.77,0.48,1.7,-,-,-,-,-,-,-
INDONESIA,-0.15,0.68,0.41,0.13,0.28,0.44,-,-,-,-,-,-,-
